Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion
1,C037,67,5,2/24/2023,11:48:13 PM,3/5/2023,7:27:10 AM,Bonny,Anniversary
2,C019,41,2,11/7/2023,11:30:18 PM,11/13/2023,7:16:17 AM,Jos,Wedding
3,C029,67,5,7/14/2023,7:12:03 PM,7/19/2023,5:39:00 PM,Oyo,Anniversary
4,C012,14,5,7/10/2023,4:44:29 AM,7/19/2023,6:33:23 AM,Akure,Birthday
5,C078,58,2,2/11/2023,7:44:48 PM,2/18/2023,11:08:52 AM,Port Harcourt,Valentine's Day
6,C040,28,4,8/20/2023,10:11:35 PM,8/26/2023,7:06:46 PM,Birnin Kebbi,Burial
7,C009,45,2,5/8/2023,1:45:13 AM,5/13/2023,10:07:17 AM,Degema,Birthday
8,C097,43,3,11/8/2023,7:20:02 PM,11/14/2023,8:44:45 AM,Ondo,Wedding
9,C044,27,4,8/20/2023,11:39:51 PM,8/29/2023,11:59:54 PM,Oshogbo,Burial
10,C099,56,3,2/26/2023,12:17:26 AM,3/8/2023,8:47:43 PM,Biu,Anniversary
11,C065,16,4,3/2/2023,8:14:55 PM,3/3/2023,11:19:47 PM,Zaria,Thanksgiving
12,C097,38,3,7/12/2023,8:28:56 AM,7/20/2023,11:34:57 PM,Ondo,Birthday
13,C024,20,3,2/24/2023,4:47:16 PM,3/4/2023,2:27:37 AM,Bonny,Anniversary
14,C042,60,1,11/8/2023,3:46:06 AM,11/15/2023,12:08:02 PM,Ilorin,Wedding
15,C069,21,5,8/26/2023,2:52:39 AM,8/30/2023,1:26:45 PM,Ede,Burial
16,C013,20,3,2/16/2023,3:06:11 PM,2/20/2023,10:14:21 PM,Lafia,Anniversary
17,C056,60,2,11/4/2023,11:31:33 AM,11/13/2023,6:40:13 PM,Idah,Wedding
18,C072,23,4,12/10/2023,10:46:15 AM,12/11/2023,12:20:29 AM,Ijebu Igbo,Anniversary
19,C072,62,4,3/7/2023,7:59:48 AM,3/8/2023,3:04:34 AM,Ijebu Igbo,Thanksgiving
20,C011,52,1,2/11/2023,2:36:57 PM,2/14/2023,1:34:16 AM,Wurno,Valentine's Day
21,C090,32,1,2/9/2023,11:20:52 AM,2/12/2023,11:36:26 AM,Kano,Birthday
22,C054,43,1,11/9/2023,1:05:28 AM,11/14/2023,9:49:47 AM,Ondo,Wedding
23,C041,12,3,5/5/2023,5:28:33 AM,5/6/2023,12:12:24 PM,Abeokuta,Anniversary
24,C018,42,3,7/25/2023,5:10:42 AM,8/3/2023,7:57:35 AM,Borno,All Occasions
25,C091,30,3,7/21/2023,10:46:57 AM,7/24/2023,2:28:42 PM,Ijebu Igbo,Anniversary
26,C040,6,3,3/6/2023,5:03:06 AM,3/12/2023,6:06:11 AM,Birnin Kebbi,Thanksgiving
